EAP Name,Visit Type Name,Visit Type Length,DEP Name,Room Name
CT HEAD WO IV CONTRAST,CT HEAD WO,20,"1441 SOUTH AVE RAD CT
10 UNION SQ E RAD CT
1176 5TH AVE RAD CT
1470 MADISON AVE RAD CT
393 OLD COUNTRY RD RAD CT
225 E 126TH ST RAD CT
300 CADMAN PLAZA RAD CT
3131 KINGS HIGHWAY RAD CT
325 W 15TH ST RAD CT
55 E 34TH ST RAD CT
MSB RAD CT
MSBI RAD CT
MSH RAD CT
MSM RAD CT
MSQ OP RAD CAT SCAN
MSW RAD CT
5 CUBA HILL RAD CT
1155 NORTHERN BLVD RAD CT
1000 10TH AVE RAD PET/CT
MSQ IP RAD CT
NYEE RAD CT
2020 WANTAGH AVE RAD CT
MSSN RAD CT
185 MERRICK ROAD RAD CT
MSSN FSED RAD CT
485 MERRICK ROAD RAD PET/CT","DOCSI CT 1
MSDUS CT 1
RA CT ROOM 3
RA CT ROOM 5
HESS CT ROOM 6
BMEII CT FORCE
DOCLIH CT 1
PC CT 1
BH CT 1
KD CT 1
BC PET CT 1
NY CT 1
MSB CT 1
MSB CT ED
BICT2
MSH CT 1
MSH CT 3
MSH CT 4
MSH CT PORT
MSM CT 1
MSM CT 2
MSM CT 3
MSM CT ED 1
MSQ OP PET CT 1
MSW CT 1
MSW ED CT 1
MSW CT 2
DOCCU PET CT 1
DOCMH CT 1
MSBI CT 1
MSH CT 2
BR PET CT 1
MSQ CT 1
MSQ ED CT 1
NYEE CT ROOM
DOCWA CT 1
MSSN CT 1
MSSN CT 4
MSSN CT 7
MSSN CT ED
MSDOR CT
MSSNLB-FSED CT
MSDRVC PET/CT
QNSCT1"
CT HEAD W IV CONTRAST,CT HEAD W,20,"1441 SOUTH AVE RAD CT
MSW RAD CT
MSQ OP RAD CAT SCAN
MSQ IP RAD CT
225 E 126TH ST RAD CT
3131 KINGS HIGHWAY RAD CT
MSB RAD CT
MSH RAD CT
MSM RAD CT
5 CUBA HILL RAD CT
393 OLD COUNTRY RD RAD CT
1155 NORTHERN BLVD RAD CT
1176 5TH AVE RAD CT
325 W 15TH ST RAD CT
300 CADMAN PLAZA RAD CT
1000 10TH AVE RAD PET/CT
10 UNION SQ E RAD CT
55 E 34TH ST RAD CT
MSBI RAD CT
2020 WANTAGH AVE RAD CT
MSSN RAD CT
185 MERRICK ROAD RAD CT
MSSN FSED RAD CT
485 MERRICK ROAD RAD PET/CT
NYEE RAD CT","DOCSI CT 1
MSW CT 1
MSW CT 2
MSW ED CT 1
MSQ OP PET CT 1
MSQ CT 1
MSQ ED CT 1
PC CT 1
KD CT 1
MSB CT 1
MSB CT ED
MSH CT 1
MSH CT 2
MSH CT 3
MSH CT 4
MSM CT 1
MSM CT 2
MSM CT 3
MSM CT ED 1
DOCCU PET CT 1
DOCLIH CT 1
DOCMH CT 1
RA CT ROOM 3
RA CT ROOM 5
BC PET CT 1
BH CT 1
BR PET CT 1
MSDUS CT 1
NY CT 1
MSBI CT 1
BICT2
DOCWA CT 1
MSSN CT 4
MSSN CT 7
MSSN CT 1
MSSN CT ED
MSDOR CT
MSSNLB-FSED CT
MSDRVC PET/CT
NYEE CT ROOM
QNSCT1"
CT HEAD W WO IV CONTRAST,CT HEAD WWO,20,"1441 SOUTH AVE RAD CT
10 UNION SQ E RAD CT
1176 5TH AVE RAD CT
1470 MADISON AVE RAD CT
393 OLD COUNTRY RD RAD CT
225 E 126TH ST RAD CT
300 CADMAN PLAZA RAD CT
3131 KINGS HIGHWAY RAD CT
325 W 15TH ST RAD CT
55 E 34TH ST RAD CT
MSB RAD CT
MSBI RAD CT
MSH RAD CT
MSM RAD CT
MSQ OP RAD CAT SCAN
MSW RAD CT
5 CUBA HILL RAD CT
1155 NORTHERN BLVD RAD CT
MSQ IP RAD CT
2020 WANTAGH AVE RAD CT
MSSN RAD CT
185 MERRICK ROAD RAD CT
MSSN FSED RAD CT
485 MERRICK ROAD RAD PET/CT
NYEE RAD CT","DOCSI CT 1
MSDUS CT 1
RA CT ROOM 3
RA CT ROOM 5
HESS CT ROOM 6
BMEII CT FORCE
DOCLIH CT 1
PC CT 1
BH CT 1
KD CT 1
BC PET CT 1
NY CT 1
MSB CT 1
MSB CT ED
BICT2
MSH CT 1
MSH CT 3
MSH CT 4
MSM CT 1
MSM CT 2
MSM CT ED 1
MSQ OP PET CT 1
MSW CT 1
MSW ED CT 1
MSW CT 2
DOCCU PET CT 1
DOCMH CT 1
MSBI CT 1
MSH CT 2
MSQ CT 1
MSQ ED CT 1
DOCWA CT 1
MSSN CT 1
MSSN CT 4
MSSN CT 7
MSSN CT ED
MSDOR CT
MSSNLB-FSED CT
MSDRVC PET/CT
NYEE CT ROOM
QNSCT1"
CT SINUSES WO IV CONTRAST,CT SINUSES WO,20,"1441 SOUTH AVE RAD CT
10 UNION SQ E RAD CT
1176 5TH AVE RAD CT
1470 MADISON AVE RAD CT
393 OLD COUNTRY RD RAD CT
225 E 126TH ST RAD CT
300 CADMAN PLAZA RAD CT
3131 KINGS HIGHWAY RAD CT
325 W 15TH ST RAD CT
55 E 34TH ST RAD CT
MSB RAD CT
MSBI RAD CT
MSH RAD CT
MSM RAD CT
MSQ OP RAD CAT SCAN
MSW RAD CT
5 CUBA HILL RAD CT
1155 NORTHERN BLVD RAD CT
1000 10TH AVE RAD PET/CT
MSQ IP RAD CT
MSSN RAD CT
185 MERRICK ROAD RAD CT
MSSN FSED RAD CT
485 MERRICK ROAD RAD PET/CT
NYEE RAD CT","DOCSI CT 1
MSDUS CT 1
RA CT ROOM 1
RA CT ROOM 3
RA CT ROOM 5
HESS CT ROOM 6
BMEII CT FORCE
DOCLIH CT 1
PC CT 1
BH CT 1
KD CT 1
BC PET CT 1
NY CT 1
MSB CT 1
MSB CT ED
BICT2
MSH CT 1
MSH CT 3
MSH CT 4
MSM CT 1
MSM CT 2
MSM CT 3
MSM CT ED 1
MSQ OP PET CT 1
MSW CT 1
MSW ED CT 1
MSW CT 2
DOCCU PET CT 1
DOCMH CT 1
MSBI CT 1
MSH CT 2
BR PET CT 1
MSQ CT 1
MSQ ED CT 1
MSSN CT 1
MSSN CT 4
MSSN CT 7
MSSN CT ED
MSDOR CT
MSSNLB-FSED CT
MSDRVC PET/CT
NYEE CT ROOM
QNSCT1"
CT SINUSES W IV CONTRAST,CT SINUSES W,20,"1441 SOUTH AVE RAD CT
10 UNION SQ E RAD CT
1176 5TH AVE RAD CT
1470 MADISON AVE RAD CT
225 E 126TH ST RAD CT
300 CADMAN PLAZA RAD CT
3131 KINGS HIGHWAY RAD CT
325 W 15TH ST RAD CT
55 E 34TH ST RAD CT
MSB RAD CT
MSBI RAD CT
MSH RAD CT
MSM RAD CT
MSQ OP RAD CAT SCAN
MSW RAD CT
5 CUBA HILL RAD CT
1000 10TH AVE RAD PET/CT
393 OLD COUNTRY RD RAD CT
1155 NORTHERN BLVD RAD CT
MSQ IP RAD CT
2020 WANTAGH AVE RAD CT
MSSN RAD CT
185 MERRICK ROAD RAD CT
MSSN FSED RAD CT
485 MERRICK ROAD RAD PET/CT
NYEE RAD CT","DOCSI CT 1
MSDUS CT 1
RA CT ROOM 1
RA CT ROOM 3
RA CT ROOM 5
HESS CT ROOM 6
BMEII CT FORCE
PC CT 1
BH CT 1
KD CT 1
BC PET CT 1
NY CT 1
MSB CT 1
MSB CT ED
BICT2
MSH CT 1
MSH CT 3
MSH CT 4
MSM CT 1
MSM CT 2
MSM CT 3
MSM CT ED 1
MSQ OP PET CT 1
MSW CT 1
MSW ED CT 1
MSW CT 2
DOCCU PET CT 1
MSBI CT 1
MSH CT 2
BR PET CT 1
DOCLIH CT 1
DOCMH CT 1
MSQ CT 1
MSQ ED CT 1
DOCWA CT 1
MSSN CT 1
MSSN CT 4
MSSN CT 7
MSSN CT ED
MSDOR CT
MSSNLB-FSED CT
MSDRVC PET/CT
NYEE CT ROOM
QNSCT1"
CT SINUSES W WO IV CONTRAST,CT SINUSES WWO,20,"1441 SOUTH AVE RAD CT
10 UNION SQ E RAD CT
1176 5TH AVE RAD CT
1470 MADISON AVE RAD CT
393 OLD COUNTRY RD RAD CT
225 E 126TH ST RAD CT
300 CADMAN PLAZA RAD CT
3131 KINGS HIGHWAY RAD CT
325 W 15TH ST RAD CT
55 E 34TH ST RAD CT
MSB RAD CT
MSBI RAD CT
MSH RAD CT
MSM RAD CT
MSQ OP RAD CAT SCAN
MSW RAD CT
5 CUBA HILL RAD CT
1155 NORTHERN BLVD RAD CT
1000 10TH AVE RAD PET/CT
MSQ IP RAD CT
2020 WANTAGH AVE RAD CT
MSSN RAD CT
185 MERRICK ROAD RAD CT
MSSN FSED RAD CT
485 MERRICK ROAD RAD PET/CT
NYEE RAD CT","DOCSI CT 1
MSDUS CT 1
RA CT ROOM 1
RA CT ROOM 3
RA CT ROOM 5
HESS CT ROOM 6
BMEII CT FORCE
DOCLIH CT 1
PC CT 1
BH CT 1
KD CT 1
BC PET CT 1
NY CT 1
MSB CT 1
MSB CT ED
BICT2
MSH CT 1
MSH CT 3
MSH CT 4
MSM CT 1
MSM CT 2
MSM CT 3
MSM CT ED 1
MSQ OP PET CT 1
MSW CT 1
MSW ED CT 1
MSW CT 2
DOCCU PET CT 1
DOCMH CT 1
MSBI CT 1
MSH CT 2
BR PET CT 1
MSQ CT 1
MSQ ED CT 1
DOCWA CT 1
MSSN CT 1
MSSN CT 4
MSSN CT 7
MSSN CT ED
MSDOR CT
MSSNLB-FSED CT
MSDRVC PET/CT
NYEE CT ROOM
QNSCT1"
CT NECK WO IV CONTRAST,CT NECK WO,20,"1441 SOUTH AVE RAD CT
10 UNION SQ E RAD CT
1176 5TH AVE RAD CT
1470 MADISON AVE RAD CT
393 OLD COUNTRY RD RAD CT
225 E 126TH ST RAD CT
300 CADMAN PLAZA RAD CT
3131 KINGS HIGHWAY RAD CT
55 E 34TH ST RAD CT
MSB RAD CT
MSBI RAD CT
MSH RAD CT
MSM RAD CT
MSQ OP RAD CAT SCAN
MSW RAD CT
5 CUBA HILL RAD CT
1155 NORTHERN BLVD RAD CT
MSQ IP RAD CT
2020 WANTAGH AVE RAD CT
MSSN RAD CT
185 MERRICK ROAD RAD CT
MSSN FSED RAD CT
485 MERRICK ROAD RAD PET/CT
NYEE RAD CT","DOCSI CT 1
MSDUS CT 1
RA CT ROOM 1
RA CT ROOM 3
RA CT ROOM 5
HESS CT ROOM 6
BMEII CT FORCE
DOCLIH CT 1
PC CT 1
BH CT 1
KD CT 1
NY CT 1
MSB CT 1
MSB CT ED
BICT2
MSH CT 1
MSH CT 3
MSH CT 4
MSM CT 1
MSM CT 2
MSM CT 3
MSM CT ED 1
MSQ OP PET CT 1
MSW CT 1
MSW ED CT 1
MSW CT 2
DOCCU PET CT 1
DOCMH CT 1
MSBI CT 1
MSH CT 2
MSQ CT 1
MSQ ED CT 1
DOCWA CT 1
MSSN CT 1
MSSN CT 4
MSSN CT 7
MSSN CT ED
MSDOR CT
MSSNLB-FSED CT
MSDRVC PET/CT
NYEE CT ROOM
QNSCT1"
CT NECK W IV CONTRAST,CT NECK W,20,"1441 SOUTH AVE RAD CT
10 UNION SQ E RAD CT
1176 5TH AVE RAD CT
1470 MADISON AVE RAD CT
1470 MADISON AVE RAD PET/CT
393 OLD COUNTRY RD RAD CT
225 E 126TH ST RAD CT
300 CADMAN PLAZA RAD CT
3131 KINGS HIGHWAY RAD CT
55 E 34TH ST RAD CT
MSB RAD CT
MSBI RAD CT
MSH RAD CT
MSM RAD CT
MSQ OP RAD CAT SCAN
MSW RAD CT
5 CUBA HILL RAD CT
1155 NORTHERN BLVD RAD CT
MSQ IP RAD CT
2020 WANTAGH AVE RAD CT
MSSN RAD CT
185 MERRICK ROAD RAD CT
MSSN FSED RAD CT
485 MERRICK ROAD RAD PET/CT
NYEE RAD CT","DOCSI CT 1
MSDUS CT 1
RA CT ROOM 1
RA CT ROOM 3
RA CT ROOM 5
HESS CT ROOM 6
BMEII CT FORCE
HESS PET CT 4
HESS PET CT 5
DOCLIH CT 1
PC CT 1
BH CT 1
KD CT 1
NY CT 1
MSB CT 1
MSB CT ED
BICT2
MSH CT 1
MSH CT 3
MSH CT 4
MSM CT 1
MSM CT 2
MSM CT 3
MSM CT ED 1
MSQ OP PET CT 1
MSW CT 1
MSW ED CT 1
MSW CT 2
DOCCU PET CT 1
DOCMH CT 1
MSBI CT 1
MSH CT 2
MSQ CT 1
MSQ ED CT 1
DOCWA CT 1
MSSN CT 1
MSSN CT 4
MSSN CT 7
MSSN CT ED
MSDOR CT
MSSNLB-FSED CT
MSDRVC PET/CT
NYEE CT ROOM
QNSCT1"
CT NECK W WO IV CONTRAST,CT NECK WWO,20,"1441 SOUTH AVE RAD CT
10 UNION SQ E RAD CT
1176 5TH AVE RAD CT
1470 MADISON AVE RAD CT
1470 MADISON AVE RAD PET/CT
393 OLD COUNTRY RD RAD CT
225 E 126TH ST RAD CT
300 CADMAN PLAZA RAD CT
3131 KINGS HIGHWAY RAD CT
55 E 34TH ST RAD CT
MSB RAD CT
MSBI RAD CT
MSH RAD CT
MSM RAD CT
MSQ OP RAD CAT SCAN
MSW RAD CT
5 CUBA HILL RAD CT
1155 NORTHERN BLVD RAD CT
MSQ IP RAD CT
2020 WANTAGH AVE RAD CT
MSSN RAD CT
185 MERRICK ROAD RAD CT
MSSN FSED RAD CT
485 MERRICK ROAD RAD PET/CT
NYEE RAD CT","DOCSI CT 1
MSDUS CT 1
RA CT ROOM 3
RA CT ROOM 5
HESS CT ROOM 6
BMEII CT FORCE
HESS PET CT 4
HESS PET CT 5
DOCLIH CT 1
PC CT 1
BH CT 1
KD CT 1
NY CT 1
MSB CT 1
MSB CT ED
BICT2
MSH CT 1
MSH CT 3
MSH CT 4
MSM CT 1
MSM CT 2
MSM CT 3
MSM CT ED 1
MSQ OP PET CT 1
MSW CT 1
MSW ED CT 1
MSW CT 2
DOCCU PET CT 1
DOCMH CT 1
MSBI CT 1
MSH CT 2
MSQ CT 1
MSQ ED CT 1
DOCWA CT 1
MSSN CT 1
MSSN CT 4
MSSN CT 7
MSSN CT ED
MSDOR CT
MSSNLB-FSED CT
MSDRVC PET/CT
NYEE CT ROOM
QNSCT1"
CTA HEAD W WO IV CONTRAST,CT ANGIO HEAD WWO,20,"1441 SOUTH AVE RAD CT
10 UNION SQ E RAD CT
1176 5TH AVE RAD CT
1470 MADISON AVE RAD CT
393 OLD COUNTRY RD RAD CT
225 E 126TH ST RAD CT
300 CADMAN PLAZA RAD CT
3131 KINGS HIGHWAY RAD CT
MSB RAD CT
MSBI RAD CT
MSH RAD CT
MSM RAD CT
MSQ OP RAD CAT SCAN
MSW RAD CT
5 CUBA HILL RAD CT
1155 NORTHERN BLVD RAD CT
MSQ IP RAD CT
2020 WANTAGH AVE RAD CT
MSSN RAD CT
185 MERRICK ROAD RAD CT
MSSN FSED RAD CT
485 MERRICK ROAD RAD PET/CT
NYEE RAD CT","DOCSI CT 1
MSDUS CT 1
RA CT ROOM 3
RA CT ROOM 5
HESS CT ROOM 6
BMEII CT FORCE
DOCLIH CT 1
PC CT 1
BH CT 1
KD CT 1
MSB CT 1
MSB CT ED
BICT2
MSH CT 1
MSH CT 3
MSH CT 4
MSM CT 1
MSM CT 2
MSM CT 3
MSM CT ED 1
MSQ OP PET CT 1
MSW CT 1
MSW ED CT 1
MSW CT 2
DOCCU PET CT 1
DOCMH CT 1
MSBI CT 1
MSH CT 2
MSQ CT 1
MSQ ED CT 1
DOCWA CT 1
MSSN CT 1
MSSN CT 4
MSSN CT 7
MSSN CT ED
MSDOR CT
MSSNLB-FSED CT
MSDRVC PET/CT
NYEE CT ROOM
QNSCT1"
